Color,Count,Percentage,Year
#010216,1,0.390625,1997
#fbfbfb,1,0.390625,1997
#f4f7e4,1,0.390625,1997
#071313,1,0.390625,1997
#0c0b09,1,0.390625,1997
#dce111,1,0.390625,1997
#e5e9ec,1,0.390625,1997
#a41710,1,0.390625,1997
#0a285a,1,0.390625,1997
#e2f6f5,1,0.390625,1997
#0c0c0e,1,0.390625,1997
#1c1316,1,0.390625,1997
#010204,1,0.390625,1997
#c06e58,1,0.390625,1997
#050706,1,0.390625,1997
#93bfec,1,0.390625,1997
#58c7da,1,0.390625,1997
#020401,1,0.390625,1997
#060b07,1,0.390625,1997
#070709,1,0.390625,1997
#0c0201,1,0.390625,1997
#111b59,1,0.390625,1997
#fcf88c,1,0.390625,1997
#d8222f,1,0.390625,1997
#718ac3,1,0.390625,1997
#531e1b,1,0.390625,1997
#f9f9f7,1,0.390625,1997
#313558,1,0.390625,1997
#000002,1,0.390625,1997
#0b0708,1,0.390625,1997
#110e09,1,0.390625,1997
#080a07,1,0.390625,1997
#c0dadb,1,0.390625,1997
#e8e3dd,1,0.390625,1997
#2e2526,1,0.390625,1997
#94abb5,1,0.390625,1997
#dfe7e9,1,0.390625,1997
#181409,1,0.390625,1997
#0c0d07,1,0.390625,1997
#4b2d11,1,0.390625,1997
#030a03,1,0.390625,1997
#33054b,1,0.390625,1997
#930c2d,1,0.390625,1997
#e5f1f1,1,0.390625,1997
#f1f1f1,1,0.390625,1997
#fafaf8,1,0.390625,1997
#0f0712,1,0.390625,1997
#000000,79,31.10236220472441,1998
#ffffff,50,19.68503937007874,1998
#010101,12,4.724409448818897,1998
#fefefe,4,1.574803149606299,1998
#040404,4,1.574803149606299,1998
#030303,3,1.1811023622047243,1998
#060606,3,1.1811023622047243,1998
#020202,3,1.1811023622047243,1998
#020204,2,0.7874015748031495,1998
#010103,2,0.7874015748031495,1998
#0c0c0c,2,0.7874015748031495,1998
#090909,2,0.7874015748031495,1998
#0c0e0d,1,0.3937007874015747,1998
#140f09,1,0.3937007874015747,1998
#689f42,1,0.3937007874015747,1998
#0a0a0c,1,0.3937007874015747,1998
#070709,1,0.3937007874015747,1998
#1d1358,1,0.3937007874015747,1998
#0a0200,1,0.3937007874015747,1998
#fefccc,1,0.3937007874015747,1998
#7b5d43,1,0.3937007874015747,1998
#f8328a,1,0.3937007874015747,1998
#e7decf,1,0.3937007874015747,1998
